index,node,horizontal_range,start_ts,end_ts,vertical_range,gradient,start_value,end_value
0,-0.22;0.02,97,14200070400,14200076220,0.24,-0.0103092784,-0.22,-0.02
1,-1.46;1.18,3,14200076280,14200076460,2.64,0.8,-1.3,1.18
2,0.14;1.3,10,14200076520,14200077240,1.16,0.216,0.14,1.1
3,1.26;1.78,6,14200077300,14200077720,0.52,-0.0066666667,1.42,1.58
4,1.7;2.18,6,14200077780,14200078200,0.48,-0.01,1.9,2.02
5,2.06;2.34,3,14200078260,14200078440,0.28,-0.0266666667,2.26,2.14
6,1.74;2.42,3,14200078500,14200078680,0.68,-0.2266666667,2.42,1.74
7,-0.06;2.38,3,14200078740,14200078920,2.44,-0.9733333333,2.38,-0.06
8,0.9;1.54,3,14200078980,14200079160,0.64,-0.3066666667,1.54,0.98
9,1.06;1.54,6,14200079220,14200079640,0.48,-0.04,1.26,1.18
10,1.46;2.62,9,14200079700,14200080360,1.16,0.0088888889,1.7,2.46
11,2.62;3.3,6,14200080420,14200080840,0.68,0.01,2.82,3.1
12,3.22;3.66,6,14200080900,14200081320,0.44,-0.01,3.38,3.46
13,3.5;3.78,3,14200081380,14200081560,0.28,-0.0466666667,3.74,3.58
14,3.62;4.02,175,14200081620,14200092300,0.4,0.0048,3.82,3.94
15,-3.1;7.06,3,14200092360,14200092540,10.16,0.3266666667,3.02,7.06
16,1.42;2.38,3,14200092600,14200092780,0.96,-7.40148683083438E-017,1.74,1.9
17,0.94;1.62,3,14200092840,14200093020,0.68,0.1733333333,0.94,1.38
18,0.54;1.22,9,14200093080,14200093740,0.68,0.0533333333,0.9,0.78
19,0.46;0.74,5,14200093800,14200094100,0.28,0.02,0.5,0.66
20,0.18;0.62,49,14200094160,14200097220,0.44,0.0016326531,0.42,0.38
21,0.02;0.38,69,14200097280,14200101480,0.36,-0.0055072464,0.14,0.14
22,0.54;1.06,3,14200101540,14200101720,0.52,-0.0133333333,0.74,0.54
23,0.62;1.02,4,14200101780,14200102020,0.4,-0.11,1.02,0.86
24,0.26;0.82,18,14200102080,14200103340,0.56,0.03,0.58,0.46
25,-0.06;0.46,34,14200103400,14200105620,0.52,0.0070588235,0.22,0.14
26,-0.26;0.14,499,14200105680,14200135740,0.4,0.0037675351,-0.1,0.02
27,-1.46;0.58,3,14200135800,14200135980,2.04,1.08,-1.46,0.38
28,0.22;0.74,3,14200136040,14200136220,0.52,0.2266666667,0.22,0.74
29,0.58;1.06,4,14200136280,14200136520,0.48,0.16,0.58,0.86
30,1.02;1.58,6,14200136580,14200137000,0.56,0,1.22,1.42
31,1.54;2.02,6,14200137060,14200137480,0.48,-0.0166666667,1.7,1.82
32,1.94;2.38,6,14200137540,14200137960,0.44,-0.0266666667,2.14,2.18
33,0.74;2.42,3,14200138020,14200138200,1.68,-0.5733333333,2.42,0.74
34,-0.02;2.1,3,14200138260,14200138440,2.12,-0.84,2.1,0.14
35,0.98;1.42,3,14200138500,14200138680,0.44,-0.2,1.42,1.02
36,1.14;1.66,6,14200138740,14200139160,0.52,-0.0266666667,1.3,1.46
37,1.58;3.1,12,14200139220,14200140120,1.52,0.0366666667,1.78,2.9
38,3.1;3.62,6,14200140180,14200140600,0.52,7.40148683083438E-017,3.26,3.42
39,3.5;3.78,3,14200140660,14200140840,0.28,-0.04,3.7,3.54
40,3.62;3.9,5,14200140900,14200141200,0.28,-0.008,3.82,3.7
41,3.74;4.06,203,14200141260,14200153500,0.32,-0.0060098522,3.94,3.98
42,-3.1;7.06,3,14200153560,14200153740,10.16,3.7066666667,-3.1,2.86
43,1.38;2.22,3,14200153800,14200153980,0.84,0.0266666667,1.62,1.82
44,1.02;1.58,3,14200154040,14200154220,0.56,0.0266666667,1.18,1.34
45,0.42;1.18,3,14200154280,14200154460,0.76,0.0333333333,0.86,1.18
46,0.46;0.98,11,14200154520,14200155300,0.52,0.04,0.7,0.66
47,0.18;0.62,47,14200155360,14200158300,0.44,-0.005106383,0.42,0.38
48,0.02;0.38,73,14200158360,14200162800,0.36,-0.0134246575,0.14,0.06
49,0.42;1.14,3,14200162860,14200163040,0.72,0.02,0.62,0.42
50,0.62;1.1,4,14200163100,14200163340,0.48,-0.17,1.1,0.86
51,0.54;0.82,3,14200163400,14200163580,0.28,0.06,0.58,0.78
52,0.34;0.74,12,14200163640,14200164420,0.4,0.015,0.5,0.58
53,0.26;0.54,3,14200164480,14200164660,0.28,0.06,0.3,0.5
54,-0.06;0.46,34,14200164720,14200166940,0.52,0.0129411765,0.22,0.14
55,-0.26;0.14,479,14200167000,14200195860,0.4,-0.0156993737,-0.1,-0.06
56,0.18;0.78,6,14200195920,14200196340,0.6,0.1266666667,0.18,0.78
57,0.86;2.14,19,14200196400,14200197720,1.28,0.1063157895,0.86,2.14
58,2.18;2.34,5,14200197780,14200198080,0.16,0.028,2.18,2.22
59,0.86;2.02,3,14200198140,14200198320,1.16,-0.62,2.02,0.94
60,0.94;1.5,11,14200198380,14200199100,0.56,0.0945454545,0.94,1.46
61,1.62;2.3,6,14200199160,14200199580,0.68,0.1366666667,1.62,2.3
62,2.38;3.06,6,14200199640,14200200060,0.68,0.14,2.38,3.06
63,3.1;3.38,4,14200200120,14200200360,0.28,0.14,3.1,3.38
64,3.46;3.7,7,14200200420,14200200840,0.24,0.0971428571,3.46,3.7
65,3.78;4.02,225,14200200900,14200214400,0.24,0.0627555556,3.78,3.9
66,1.98;2.78,3,14200214460,14200214640,0.8,-0.4333333333,2.78,1.98
67,1.38;1.78,3,14200214700,14200214880,0.4,-0.2266666667,1.78,1.38
68,1.06;1.26,3,14200214940,14200215120,0.2,-0.1,1.26,1.06
69,0.1;0.94,131,14200215180,14200223160,0.84,-0.0775572519,0.94,0.14
70,0.06;0.3,8,14200223220,14200223700,0.24,0.035,0.06,0.3
71,0.5;0.94,3,14200223760,14200223940,0.44,0.2466666667,0.5,0.86
72,-0.06;0.82,81,14200224000,14200228980,0.88,-0.0708641975,0.82,-0.02
73,-0.18;0.1,457,14200229040,14200256460,0.28,-0.0138293217,-0.1,0.1
74,0.22;0.9,7,14200256520,14200257000,0.68,0.1228571429,0.22,0.9
75,1.02;2.02,15,14200257060,14200258080,1,0.0973333333,1.02,2.02
76,2.1;2.3,9,14200258140,14200258680,0.2,0.0444444444,2.1,2.1
77,0.86;1.82,3,14200258740,14200258920,0.96,-0.5866666667,1.82,0.9
78,1.02;1.66,12,14200258980,14200259760,0.64,0.0966666667,1.02,1.66
79,1.7;2.06,3,14200259820,14200260000,0.36,0.1866666667,1.7,2.06
80,2.22;3.22,9,14200260060,14200260720,1,0.1266666667,2.22,3.22
81,3.3;3.58,7,14200260780,14200261200,0.28,0.1085714286,3.3,3.58
82,3.7;3.98,48,14200261260,14200264140,0.28,0.1108333333,3.7,3.98
83,3.9;4.02,198,14200264200,14200276080,0.12,0.0019191919,4.02,3.9
84,2.14;3.62,3,14200276140,14200276320,1.48,-0.7666666667,3.62,2.14
85,1.46;1.9,3,14200276380,14200276560,0.44,-0.2266666667,1.9,1.46
86,1.06;1.34,4,14200276620,14200276860,0.28,-0.13,1.34,1.06
87,0.74;0.98,6,14200276920,14200277280,0.24,-0.0966666667,0.98,0.74
88,0.18;0.66,90,14200277340,14200282800,0.48,-0.0808888889,0.66,0.18
89,0.1;0.9,58,14200282860,14200286400,0.8,-0.0162068966,0.14,0.62
90,-0.02;0.58,62,14200286460,14200290240,0.6,-0.0732258065,0.58,-0.02
91,-0.18;0.1,436,14200290300,14200316460,0.28,-0.027706422,-0.06,0.1
92,0.42;1.1,3,14200316520,14200316700,0.68,0.34,0.42,1.1
93,1.3;1.82,3,14200316760,14200316940,0.52,0.28,1.3,1.82
94,2.06;2.46,3,14200317000,14200317180,0.4,0.1933333333,2.06,2.46
95,2.58;3.14,6,14200317240,14200317660,0.56,0.13,2.58,3.14
96,3.26;3.9,16,14200317720,14200318740,0.64,0.09625,3.26,3.9
97,3.98;4.26,56,14200318800,14200322160,0.28,0.095,3.98,4.22
98,4.02;4.3,83,14200322220,14200327200,0.28,-0.0093975904,4.3,4.02
99,3.7;3.98,3,14200327260,14200327440,0.28,-0.1333333333,3.98,3.7
100,1.5;3.42,3,14200327500,14200327680,1.92,-0.82,3.42,1.5
101,0.66;1.02,3,14200327740,14200327920,0.36,0.2,0.66,1.02
102,0.82;1.06,9,14200327980,14200328520,0.24,-0.0311111111,1.06,1.02
103,1.14;1.42,7,14200328580,14200329000,0.28,0.0828571429,1.18,1.42
104,1.46;1.74,4,14200329060,14200329300,0.28,0.13,1.46,1.74
105,1.86;2.62,6,14200329360,14200329780,0.76,0.1733333333,1.86,2.62
106,2.74;3.42,6,14200329840,14200330260,0.68,0.1333333333,2.74,3.42
107,3.5;3.78,4,14200330320,14200330560,0.28,0.115,3.5,3.78
108,3.82;4.34,52,14200330620,14200333800,0.52,0.0538461538,3.82,4.26
109,2.14;3.82,3,14200333860,14200334040,1.68,-0.88,3.82,2.14
110,1.42;1.98,3,14200334100,14200334280,0.56,-0.2933333333,1.98,1.42
111,1.1;1.38,3,14200334340,14200334520,0.28,-0.1533333333,1.38,1.1
112,0.78;1.06,5,14200334580,14200334880,0.28,-0.112,1.06,0.78
113,0.22;0.74,86,14200334940,14200340160,0.52,-0.0806976744,0.74,0.22
114,0.14;0.38,39,14200340220,14200342560,0.24,0.0169230769,0.18,0.38
115,0.62;1.02,3,14200342620,14200342800,0.4,0.2066666667,0.62,0.9
116,-0.22;0.94,455,14200342860,14200370340,1.16,-0.0431208791,0.94,-0.1
